Employee_ID,Age_Group,Monthly_Income_Band,Tenure_Group,Distance_Band,Manager_Tenure_Group,Satisfaction_Index,Engagement_Score,Salary_vs_Role_Avg,High_Flight_Risk,Stagnation_Flag,Attrition_Binary,Education_Label,Environment_Satisfaction_Label,Job_Satisfaction_Label,Relationship_Satisfaction_Label,Work_Life_Balance_Label,Performance_Rating_Label,Stock_Option_Label
1107,26-35,Low,"New Hire",Far,New,2.25,2.40,0.73,1,0,1,Bachelor,Low,High,High,Good,Excellent,Low
577,26-35,Medium,"Early Tenure",Far,Developing,3.25,2.80,1.31,0,0,0,Bachelor,"Very High",High,High,Better,"Meets Expectations",None
578,46-55,Medium,"New Hire",Close,New,3.00,3.00,1.17,0,0,0,Master,High,High,High,Better,"Meets Expectations",None
1111,26-35,Low,"New Hire","Very Close",New,1.75,1.80,0.80,1,0,1,Bachelor,Low,Medium,Low,Better,"Meets Expectations",Medium
1132,36-45,Medium,"Early Tenure",Close,Developing,2.50,2.60,2.10,0,0,0,Bachelor,High,Medium,High,Good,"Meets Expectations",None
1148,36-45,Medium,"New Hire",Far,New,2.50,2.20,1.32,0,0,0,Bachelor,Medium,"Very High",Low,Better,"Meets Expectations",None
1156,18-25,Low,"New Hire",Close,New,3.25,3.20,0.59,1,0,1,"Below College",High,High,"Very High",Better,"Meets Expectations",None
584,26-35,Medium,"Early Tenure",Close,Developing,2.25,2.00,1.05,1,0,1,"Below College",Low,"Very High",Low,Better,"Meets Expectations",High
1158,36-45,Medium,"New Hire",Moderate,New,2.50,2.60,1.47,0,0,0,Master,Medium,"Very High",Low,Better,"Meets Expectations",Low
269,26-35,Medium,Established,"Very Close",New,2.75,2.80,1.37,0,0,0,Bachelor,Medium,Medium,"Very High",Better,"Meets Expectations",None
591,36-45,Low,"New Hire","Very Close",New,3.00,3.00,0.65,0,0,0,College,Medium,High,"Very High",Better,"Meets Expectations",Low
1160,26-35,Low,"New Hire",Moderate,New,2.75,2.80,0.81,1,0,1,Bachelor,High,High,High,Good,"Meets Expectations",Low
593,18-25,Medium,"New Hire","Very Close",New,3.00,2.80,1.20,1,0,1,"Below College",High,High,High,Better,"Meets Expectations",None
1172,26-35,Low,Established,"Very Close",Established,3.00,2.80,0.70,0,0,0,Master,"Very High",High,Medium,Better,"Meets Expectations",Low
1173,18-25,Medium,"Early Tenure",Far,New,3.25,3.20,1.11,0,0,0,Bachelor,"Very High",Medium,"Very High",Better,Excellent,None
1175,26-35,Low,"New Hire",Moderate,New,3.25,3.20,0.78,1,0,1,"Below College",High,"Very High","Very High",Good,"Meets Expectations",None
281,36-45,Low,Established,Moderate,Established,3.50,3.40,0.85,0,0,0,College,High,"Very High",High,Best,"Meets Expectations",Low
1177,26-35,Medium,Established,"Very Close",Established,2.50,2.80,1.37,0,0,0,Master,Low,"Very High",Medium,Better,Excellent,Low
1185,26-35,Low,"New Hire","Very Close",New,3.50,3.20,0.73,0,0,0,Master,"Very High","Very High",Medium,Best,"Meets Expectations",Low
286,36-45,Low,Established,Moderate,Established,2.50,2.60,0.67,0,0,0,"Below College",Medium,"Very High",Low,Better,"Meets Expectations",None
602,36-45,Medium,Established,Close,Established,2.50,2.60,1.16,0,0,0,"Below College",High,High,Low,Better,"Meets Expectations",Low
1192,26-35,Medium,Established,Close,Established,2.50,2.60,0.97,0,0,0,"Below College",Medium,"Very High",Low,Better,"Meets Expectations",Low
1198,18-25,Medium,"New Hire","Very Close",New,1.75,1.80,0.94,0,0,0,Bachelor,Low,High,Low,Good,"Meets Expectations",None
1216,26-35,Medium,Established,Moderate,Developing,2.75,2.60,0.99,0,0,0,Master,"Very High",Low,High,Better,"Meets Expectations",High
1219,18-25,Low,"New Hire",Moderate,New,2.00,2.20,0.68,1,0,1,College,"Very High",Medium,Low,Bad,"Meets Expectations",Low
1221,36-45,Low,Established,Close,Established,3.00,2.60,0.85,0,0,0,Master,High,High,High,Better,"Meets Expectations",Low
1224,26-35,Medium,Established,Close,Established,2.25,2.40,1.08,0,1,0,Master,High,High,Low,Good,"Meets Expectations",High
1234,26-35,Low,"New Hire",Moderate,New,2.75,2.60,0.85,0,0,0,Bachelor,High,Medium,High,Better,Excellent,Low
1258,46-55,Low,"New Hire","Very Close",New,2.75,3.00,0.79,0,0,0,College,"Very High",Medium,High,Good,"Meets Expectations",None
1279,18-25,Low,"New Hire",Close,New,2.00,2.00,0.81,1,0,1,College,Low,High,High,Bad,Excellent,None
304,36-45,Medium,"Long Tenure","Very Close",Established,3.50,3.40,1.83,0,0,0,College,"Very High",Medium,"Very High",Best,"Meets Expectations",None
1285,26-35,Medium,"Long Tenure",Moderate,Established,3.00,3.00,1.37,0,1,0,Bachelor,High,Medium,High,Best,"Meets Expectations",Medium
1286,26-35,Low,"Early Tenure","Very Close",New,3.00,3.00,0.67,0,0,0,Master,"Very High",High,High,Good,"Meets Expectations",None
622,26-35,Low,"New Hire",Far,New,2.50,2.20,0.72,1,0,1,Bachelor,High,"Very High",Medium,Bad,"Meets Expectations",None
1296,26-35,Medium,"New Hire","Very Close",New,3.25,3.00,1.19,0,0,0,Bachelor,"Very High","Very High",Medium,Better,"Meets Expectations",Low
1297,46-55,Low,Established,Close,Established,2.25,2.20,0.88,0,1,0,College,Medium,High,Medium,Good,"Meets Expectations",None
1299,26-35,Medium,Established,Close,Established,2.25,2.40,1.03,1,1,1,Bachelor,Medium,High,Low,Better,"Meets Expectations",Medium
1309,26-35,Medium,Established,Close,New,2.75,2.80,1.51,1,0,1,College,"Very High",High,Low,Better,"Meets Expectations",Low
1311,26-35,Medium,Established,Close,Established,2.25,2.20,1.43,0,1,0,Bachelor,Low,"Very High",Low,Better,"Meets Expectations",Low
1315,26-35,Medium,Established,"Very Close",Developing,2.75,2.40,2.06,0,1,0,Bachelor,High,"Very High",Low,Better,"Meets Expectations",High
316,46-55,Medium,"New Hire","Very Close",New,2.75,2.60,0.99,0,0,0,Bachelor,High,"Very High",Medium,Good,"Meets Expectations",None
1333,36-45,Low,"Early Tenure","Very Close",New,2.25,2.40,0.73,1,0,1,Bachelor,Low,Low,High,Best,"Meets Expectations",None
1358,18-25,Medium,"Early Tenure",Moderate,New,3.25,3.20,1.13,0,0,0,"Below College","Very High","Very High",High,Good,"Meets Expectations",High
325,26-35,Low,"Early Tenure",Moderate,Developing,2.75,2.80,0.75,1,0,1,Bachelor,High,"Very High",High,Bad,"Meets Expectations",Low
1361,36-45,Low,"Early Tenure","Very Close",Developing,2.50,2.60,0.74,0,0,0,Master,Medium,Medium,High,Better,Excellent,Low
328,26-35,Low,Established,"Very Close",Established,1.75,2.00,0.84,1,0,1,College,Low,Low,Low,Best,Excellent,None
1368,18-25,Low,"New Hire","Very Close",New,3.75,3.60,0.50,0,0,0,Bachelor,"Very High","Very High",High,Best,"Meets Expectations",None
643,18-25,Low,"New Hire",Moderate,New,3.25,3.00,0.66,0,0,0,College,"Very High",Medium,"Very High",Better,Excellent,Low
331,26-35,Medium,"Early Tenure","Very Close",New,3.00,2.80,1.15,1,0,1,Bachelor,"Very High",High,"Very High",Bad,"Meets Expectations",None
332,36-45,Low,"Early Tenure","Very Close",New,3.00,3.00,0.69,0,0,0,Master,High,High,High,Better,"Meets Expectations",High
1369,26-35,Medium,Established,"Very Close",New,3.25,3.00,1.66,0,0,0,Bachelor,"Very High","Very High",Medium,Better,"Meets Expectations",Low
1377,26-35,Medium,Established,Far,Established,2.25,2.40,1.68,0,1,0,Bachelor,Medium,High,Low,Better,"Meets Expectations",Medium
647,18-25,Low,Established,Close,New,2.75,2.80,0.89,1,0,1,Bachelor,Low,High,"Very High",Better,"Meets Expectations",Low
1409,46-55,Low,"Early Tenure",Close,Developing,2.00,2.20,0.91,0,0,0,Master,High,Low,High,Bad,"Meets Expectations",None
1411,36-45,Medium,"Early Tenure",Moderate,New,2.00,2.20,1.12,0,0,0,Bachelor,Low,High,Low,Better,"Meets Expectations",None
1415,18-25,Medium,"Early Tenure","Very Close",New,2.25,2.40,1.00,0,0,0,Bachelor,Low,"Very High",Medium,Good,"Meets Expectations",Low
652,26-35,Medium,"Early Tenure",Far,New,3.00,2.80,1.14,0,0,0,College,Low,"Very High","Very High",Better,"Meets Expectations",None
1417,26-35,Medium,Established,Close,Established,2.75,3.00,1.11,0,0,0,Bachelor,High,Low,"Very High",Better,"Meets Expectations",None
1420,46-55,Medium,"Early Tenure",Far,Developing,1.50,1.60,1.32,1,0,1,College,Low,Low,Low,Better,Excellent,None
1434,26-35,Low,"Early Tenure",Moderate,Developing,2.25,2.40,0.65,0,0,0,"Below College",Medium,Low,Medium,Best,"Meets Expectations",None
1435,36-45,Medium,Established,"Very Close",Established,2.50,2.40,1.79,0,0,0,Master,Low,"Very High",High,Good,"Meets Expectations",None
1440,36-45,Medium,Established,"Very Close",Developing,2.00,2.40,1.08,0,0,0,College,High,High,Low,Bad,"Meets Expectations",None
1447,26-35,Medium,"Early Tenure","Very Close",New,2.25,2.20,1.02,0,0,0,Bachelor,"Very High",Medium,Low,Good,"Meets Expectations",Low
663,36-45,Medium,Established,Close,Established,3.00,3.00,1.75,0,0,0,Doctor,"Very High",High,Medium,Better,"Meets Expectations",Low
351,36-45,Low,Established,"Very Close",Established,2.75,2.60,0.80,0,1,0,Bachelor,"Very High",Low,High,Better,"Meets Expectations",Low
1449,36-45,Medium,Established,Close,Established,3.25,3.20,1.23,0,0,0,Master,High,High,High,Best,"Meets Expectations",Medium
1458,36-45,Medium,"New Hire","Very Close",New,2.00,2.00,1.13,1,0,1,Bachelor,Low,Low,Medium,Best,Excellent,None
355,26-35,Medium,"Early Tenure",Far,Developing,2.75,2.60,1.07,1,0,1,College,High,Medium,Medium,Best,"Meets Expectations",None
359,26-35,Low,"Early Tenure",Close,Developing,2.00,2.40,0.86,0,0,0,Bachelor,Medium,Medium,High,Bad,Excellent,None
1464,26-35,Medium,"New Hire","Very Close",New,2.50,2.60,1.15,1,0,1,Bachelor,Medium,"Very High",High,Bad,"Meets Expectations",Low
362,26-35,Low,Established,"Very Close",Developing,3.00,2.80,0.67,0,0,0,"Below College","Very High",Low,"Very High",Better,"Meets Expectations",None
1471,36-45,Medium,"Early Tenure","Very Close",Developing,3.25,3.00,0.98,0,0,0,Bachelor,High,High,"Very High",Better,"Meets Expectations",None
364,26-35,Medium,"New Hire","Very Close",New,2.00,2.20,1.08,1,0,1,Master,Low,High,High,Bad,"Meets Expectations",None
1480,36-45,Medium,"Long Tenure",Close,Established,2.75,2.80,1.13,0,1,0,College,Low,"Very High",High,Better,"Meets Expectations",None
373,36-45,Medium,"Long Tenure",Close,Long-Term,3.50,3.40,0.99,0,1,0,Bachelor,"Very High","Very High",High,Better,"Meets Expectations",Low
1494,18-25,Medium,"New Hire",Close,New,2.00,2.20,0.98,1,0,1,Bachelor,Medium,Low,High,Good,"Meets Expectations",None
1502,26-35,Medium,"Early Tenure","Very Close",New,2.50,2.40,1.19,0,0,0,Master,Low,Medium,"Very High",Better,"Meets Expectations",None
1504,26-35,Low,"New Hire","Very Close",New,2.25,2.20,0.79,1,0,1,College,High,Low,High,Good,"Meets Expectations",None
1509,46-55,Medium,"Early Tenure","Very Close",New,2.00,2.00,1.48,0,0,0,College,High,Low,Low,Better,Excellent,Low
1513,26-35,Medium,"Early Tenure","Very Close",New,3.00,3.00,0.98,0,0,0,"Below College","Very High",Medium,High,Better,"Meets Expectations",High
1533,18-25,Low,"Early Tenure",Moderate,New,2.25,2.40,0.70,0,0,0,"Below College",Low,High,Medium,Better,"Meets Expectations",None
1534,36-45,Low,"Early Tenure",Close,New,2.00,2.20,0.62,1,0,1,Master,"Very High",Low,Medium,Bad,"Meets Expectations",None
686,26-35,Low,"Early Tenure",Close,New,3.25,3.20,0.82,0,0,0,Bachelor,High,"Very High",High,Better,"Meets Expectations",Low
1542,36-45,Medium,"New Hire","Very Close",New,2.50,2.40,1.50,0,0,0,Bachelor,High,Medium,Medium,Better,"Meets Expectations",Low
1549,26-35,Medium,"Long Tenure",Far,Established,2.50,2.60,1.61,0,1,0,Master,Medium,High,Medium,Better,"Meets Expectations",Low
1551,18-25,Low,"New Hire",Far,New,2.25,2.20,0.71,0,0,0,College,High,Low,Medium,Better,"Meets Expectations",High
1802,36-45,Medium,"Early Tenure","Very Close",New,2.50,2.60,1.04,0,0,0,College,High,Low,"Very High",Good,"Meets Expectations",Low
1564,26-35,Low,"Early Tenure","Very Close",New,2.50,2.40,0.76,0,0,0,Bachelor,"Very High",Low,Medium,Better,"Meets Expectations",None
389,46-55,Medium,Established,Moderate,Established,3.25,3.20,1.67,0,0,0,College,Medium,"Very High","Very High",Better,"Meets Expectations",Low
1569,26-35,Low,"New Hire","Very Close",New,2.25,2.40,0.64,1,0,1,Bachelor,Low,Low,"Very High",Better,"Meets Expectations",Low
1215,46-55,"Very High","New Hire","Very Close",New,2.75,2.80,1.04,0,0,0,Bachelor,"Very High",Low,High,Better,Excellent,Low
473,46-55,High,"New Hire",Far,New,1.75,2.00,0.73,0,0,0,"Below College",Low,High,Medium,Bad,Excellent,Low
1204,46-55,"Very High",Veteran,"Very Close",Established,2.00,2.20,0.99,0,0,0,Bachelor,High,Low,Low,Better,Excellent,None
1520,46-55,"Very High","Long Tenure",Moderate,Long-Term,2.50,2.60,0.93,0,0,0,Master,Medium,"Very High",Low,Better,Excellent,Low
1280,46-55,"Very High","Long Tenure","Very Close",Established,3.00,2.80,1.09,0,0,0,College,"Very High",Medium,High,Better,"Meets Expectations",Low
531,36-45,"Very High",Veteran,"Very Close",Established,2.75,2.80,1.12,0,0,0,"Below College",Medium,High,High,Better,"Meets Expectations",Low
23,46-55,"Very High",Veteran,"Very Close",Established,2.75,2.60,0.90,0,0,0,Master,Low,"Very High",High,Better,"Meets Expectations",None
731,36-45,"Very High",Veteran,Close,Established,2.50,2.40,1.11,0,0,0,Master,Medium,"Very High",Medium,Good,"Meets Expectations",High
981,46-55,High,"Long Tenure","Very Close",New,3.25,3.20,0.86,0,0,0,College,High,High,High,Best,"Meets Expectations",Low
1824,56+,"Very High","Long Tenure","Very Close",Long-Term,2.50,2.60,0.95,0,0,0,Bachelor,Medium,Medium,"Very High",Good,Excellent,Low
1201,46-55,"Very High",Established,Close,Established,3.00,3.00,1.08,0,0,0,College,"Very High",High,Medium,Better,"Meets Expectations",Low
1045,36-45,"Very High",Established,Moderate,New,3.50,3.40,1.03,0,0,0,College,"Very High","Very High",Medium,Best,"Meets Expectations",Low
1408,36-45,"Very High","Long Tenure",Close,Established,2.50,2.60,0.98,0,0,0,Bachelor,High,Low,High,Better,"Meets Expectations",Low
32,46-55,"Very High","Long Tenure","Very Close",Established,3.00,3.00,1.11,0,0,0,Bachelor,High,High,"Very High",Good,"Meets Expectations",Low
1516,26-35,High,"Early Tenure",Close,New,3.25,3.20,0.65,0,0,0,Bachelor,High,"Very High",Medium,Best,Excellent,None
597,46-55,"Very High",Established,Moderate,Established,2.50,2.60,0.98,0,0,0,Doctor,Low,Medium,"Very High",Better,Excellent,None
38,46-55,"Very High","New Hire","Very Close",New,2.25,2.40,1.10,0,0,0,Master,Medium,Low,"Very High",Good,"Meets Expectations",None
976,46-55,"Very High",Established,"Very Close",Established,3.00,3.00,1.00,0,0,0,College,"Very High","Very High",Medium,Good,"Meets Expectations",Low
1074,46-55,"Very High",Established,"Very Close",New,2.50,2.40,0.98,0,0,0,"Below College",High,Low,Medium,Best,"Meets Expectations",None
1109,36-45,"Very High",Veteran,"Very Close",Established,3.00,3.00,1.03,0,0,0,College,"Very High",Low,"Very High",Better,"Meets Expectations",Low
1866,36-45,"Very High","Long Tenure",Close,Long-Term,2.75,2.60,1.13,0,0,0,Bachelor,Low,High,"Very High",Better,"Meets Expectations",None
992,26-35,"Very High",Established,Moderate,New,3.50,3.40,1.02,0,0,0,Bachelor,"Very High",High,"Very High",Better,"Meets Expectations",None
226,46-55,"Very High","Early Tenure",Moderate,Developing,2.50,2.60,1.16,0,0,0,Bachelor,High,Medium,Medium,Better,"Meets Expectations",None
140,56+,"Very High","Early Tenure","Very Close",New,3.50,3.20,1.10,0,0,0,Master,High,"Very High","Very High",Better,Excellent,Low
1352,46-55,High,Veteran,"Very Close",Established,2.50,2.60,0.82,0,0,0,Bachelor,High,Medium,Medium,Better,"Meets Expectations",Low
1256,46-55,"Very High","New Hire","Very Close",New,2.75,2.60,1.09,0,0,0,College,Low,High,High,Best,"Meets Expectations",Low
671,36-45,"Very High","New Hire","Very Close",New,3.25,3.20,1.14,0,0,0,Master,"Very High","Very High",Low,Best,"Meets Expectations",Low
1277,36-45,"Very High",Veteran,"Very Close",Long-Term,1.75,1.60,1.10,1,0,1,Bachelor,Low,Medium,Low,Better,"Meets Expectations",None
1973,46-55,"Very High",Established,Far,Developing,2.25,2.60,1.14,0,0,0,Master,High,Medium,Low,Better,"Meets Expectations",Low
1267,36-45,"Very High",Veteran,"Very Close",Established,2.50,2.60,1.06,0,0,0,Bachelor,Medium,Medium,High,Better,"Meets Expectations",Low
505,46-55,"Very High","Early Tenure","Very Close",New,3.25,3.20,0.97,0,0,0,Bachelor,High,"Very High",High,Better,"Meets Expectations",None
148,46-55,"Very High","Early Tenure",Far,Developing,3.50,3.60,1.01,0,0,0,Bachelor,"Very High","Very High",High,Better,"Meets Expectations",None
1900,46-55,"Very High",Veteran,Far,Established,3.25,3.20,1.00,0,0,0,Bachelor,"Very High","Very High",Medium,Better,"Meets Expectations",Low
734,36-45,"Very High",Veteran,"Very Close",Established,3.00,2.80,1.12,0,0,0,Bachelor,"Very High",High,Medium,Better,"Meets Expectations",Low
153,26-35,High,"Long Tenure","Very Close",Established,2.75,2.60,0.68,0,0,0,Bachelor,High,Low,"Very High",Better,"Meets Expectations",None
664,46-55,"Very High","Early Tenure","Very Close",New,1.75,1.80,0.90,0,0,0,Master,"Very High",Low,Low,Bad,"Meets Expectations",Low
1892,36-45,"Very High","Long Tenure","Very Close",Long-Term,1.50,1.80,0.98,0,0,0,Master,Low,Low,Low,Better,"Meets Expectations",Low
84,46-55,High,"Early Tenure",Close,New,3.25,3.20,0.86,0,0,0,Bachelor,"Very High",High,High,Better,"Meets Expectations",High
158,36-45,"Very High",Veteran,Far,Long-Term,3.75,3.60,0.99,0,0,0,College,High,"Very High","Very High",Best,"Meets Expectations",Medium
1048,56+,High,Established,"Very Close",Developing,2.50,2.60,0.69,0,0,0,College,Medium,"Very High",High,Bad,"Meets Expectations",Low
644,46-55,"Very High",Veteran,"Very Close",Established,2.25,2.40,1.06,0,0,0,Bachelor,Low,Medium,High,Better,"Meets Expectations",Low
199,36-45,"Very High",Established,Close,Established,2.25,2.20,1.00,0,0,0,Bachelor,"Very High",Low,Medium,Good,"Meets Expectations",Low
1336,46-55,"Very High","Long Tenure","Very Close",Long-Term,3.50,3.00,1.12,0,0,0,College,"Very High",High,"Very High",Better,"Meets Expectations",Low
1191,56+,"Very High","Early Tenure","Very Close",New,3.00,3.00,1.16,0,0,0,Master,"Very High",Low,"Very High",Better,"Meets Expectations",Low
1306,36-45,"Very High","New Hire",Far,New,2.50,2.60,1.05,0,0,0,Bachelor,Medium,Medium,High,Better,Excellent,None
625,36-45,"Very High","Long Tenure","Very Close",Established,2.00,2.20,0.97,0,0,0,Doctor,Medium,Low,Medium,Better,"Meets Expectations",Low
1938,56+,"Very High","New Hire",Far,New,3.25,3.20,1.04,0,0,0,Bachelor,"Very High","Very High",High,Good,"Meets Expectations",Low
2031,36-45,"Very High",Veteran,"Very Close",Long-Term,1.75,2.00,1.10,0,0,0,Bachelor,Low,High,Low,Good,"Meets Expectations",None
1338,56+,"Very High",Established,Close,Established,2.50,2.60,1.15,0,0,0,Master,"Very High",Medium,Low,Better,"Meets Expectations",None
851,46-55,"Very High","Long Tenure",Far,Long-Term,2.25,2.40,0.95,0,0,0,Master,Low,High,High,Good,"Meets Expectations",Low
1282,46-55,"Very High",Veteran,Close,Established,2.25,2.40,1.16,0,0,0,Bachelor,"Very High",Medium,Low,Good,Excellent,Low
2022,36-45,"Very High",Established,Close,Developing,3.25,3.20,1.13,0,0,0,Bachelor,"Very High","Very High",High,Good,"Meets Expectations",None
1786,46-55,High,"New Hire","Very Close",New,2.75,2.80,0.76,0,0,0,Bachelor,Low,High,"Very High",Better,"Meets Expectations",None
253,36-45,"Very High","Long Tenure","Very Close",Established,3.00,3.00,1.11,0,0,0,"Below College","Very High",High,Medium,Better,"Meets Expectations",Low
259,46-55,"Very High",Veteran,"Very Close",Established,2.50,2.40,1.16,0,0,0,Master,High,High,Low,Better,"Meets Expectations",Low
264,36-45,"Very High","Long Tenure","Very Close",Established,3.00,2.80,0.98,0,0,0,College,Low,"Very High","Very High",Better,Excellent,Low
1740,36-45,"Very High",Veteran,Close,Established,2.00,2.20,1.15,0,0,0,Master,Medium,Medium,Medium,Good,"Meets Expectations",None
298,36-45,High,"New Hire",Close,New,3.50,3.40,0.79,0,0,0,Bachelor,"Very High","Very High",High,Better,"Meets Expectations",None
1038,46-55,"Very High",Veteran,"Very Close",Established,3.00,2.60,1.16,1,0,1,"Below College",Low,"Very High","Very High",Better,"Meets Expectations",Low
546,46-55,"Very High","Early Tenure","Very Close",Developing,3.25,3.20,0.96,0,0,0,College,"Very High","Very High","Very High",Bad,"Meets Expectations",None
776,46-55,"Very High",Veteran,"Very Close",Long-Term,2.25,2.20,0.98,0,0,0,Master,High,Low,Low,Best,"Meets Expectations",None
1677,46-55,"Very High",Established,"Very Close",New,2.50,2.60,0.90,0,0,0,Bachelor,High,High,Low,Better,"Meets Expectations",None
1676,46-55,"Very High","Early Tenure","Very Close",New,2.50,2.80,0.93,0,0,0,Master,Medium,Medium,High,Better,"Meets Expectations",High
613,26-35,High,"Early Tenure",Close,New,3.00,2.80,0.67,0,0,0,Bachelor,High,"Very High",High,Good,Excellent,Low
1665,46-55,"Very High",Established,Far,Established,2.75,2.80,1.01,0,0,0,Doctor,Medium,High,High,Better,Excellent,Low
319,36-45,"Very High",Veteran,"Very Close",Long-Term,3.50,3.40,1.12,0,0,0,College,High,"Very High","Very High",Better,"Meets Expectations",None
323,46-55,"Very High",Established,"Very Close",Established,3.25,3.20,1.14,0,0,0,Master,"Very High","Very High",High,Good,"Meets Expectations",Low
327,36-45,"Very High","Long Tenure",Moderate,Established,3.50,3.40,0.93,0,0,0,Bachelor,"Very High","Very High",High,Better,Excellent,Low
329,46-55,"Very High",Veteran,"Very Close",Long-Term,3.00,2.80,1.11,0,0,0,Master,Low,High,"Very High",Best,"Meets Expectations",None
1029,36-45,"Very High","New Hire","Very Close",New,3.25,3.20,1.07,0,0,0,College,"Very High",High,Medium,Best,"Meets Expectations",None
905,46-55,"Very High",Veteran,"Very Close",Established,2.25,2.40,1.04,0,0,0,Master,Low,Low,"Very High",Better,"Meets Expectations",Low
336,36-45,"Very High",Veteran,"Very Close",Established,3.25,3.40,1.12,0,0,0,Bachelor,High,"Very High",High,Better,"Meets Expectations",Low
1644,46-55,"Very High","New Hire","Very Close",New,3.00,2.80,0.88,0,0,0,Doctor,High,"Very High",Medium,Better,Excellent,Low
549,56+,"Very High",Veteran,Close,Established,1.75,2.00,1.14,0,0,0,Bachelor,Low,Low,"Very High",Bad,"Meets Expectations",None
1288,36-45,"Very High",Veteran,"Very Close",Long-Term,2.50,2.80,1.12,0,0,0,College,High,Low,"Very High",Good,"Meets Expectations",Medium
363,46-55,"Very High",Established,"Very Close",Established,2.25,2.00,0.98,0,0,0,Bachelor,High,Medium,Medium,Good,"Meets Expectations",Low
1334,36-45,"Very High","Long Tenure","Very Close",Established,3.00,3.00,1.04,0,0,0,"Below College",High,High,"Very High",Good,"Meets Expectations",None
374,46-55,"Very High",Veteran,"Very Close",Long-Term,2.75,2.80,1.11,0,0,0,Bachelor,"Very High",Low,High,Better,"Meets Expectations",None
376,46-55,High,Established,Far,Established,2.25,2.40,0.69,1,0,1,Master,Low,Medium,"Very High",Good,"Meets Expectations",Low
787,46-55,"Very High","Early Tenure","Very Close",Developing,3.00,3.00,1.16,1,0,1,Bachelor,"Very High",Low,"Very High",Better,"Meets Expectations",Low
381,26-35,High,Established,Far,New,2.00,2.40,0.70,0,0,0,Bachelor,Medium,Medium,Medium,Good,"Meets Expectations",Low
1625,46-55,"Very High","Early Tenure",Far,New,3.25,3.20,1.14,0,0,0,Master,"Very High",High,High,Better,"Meets Expectations",Low
558,36-45,"Very High","Long Tenure","Very Close",Long-Term,3.25,3.20,1.05,0,0,0,Master,High,High,"Very High",Better,"Meets Expectations",None
1602,46-55,"Very High",Veteran,"Very Close",Long-Term,2.00,2.40,1.02,0,0,0,Master,"Very High",Low,Medium,Bad,"Meets Expectations",None
410,36-45,"Very High",Veteran,"Very Close",Developing,2.75,2.80,0.93,0,0,0,Master,"Very High",Medium,Medium,Better,"Meets Expectations",None
1124,46-55,"Very High","Long Tenure","Very Close",Established,2.75,2.80,1.02,0,0,0,"Below College",Low,High,"Very High",Better,"Meets Expectations",Low
1595,36-45,"Very High","New Hire",Close,New,3.75,3.40,1.14,0,0,0,College,"Very High","Very High","Very High",Better,Excellent,None
428,26-35,High,Established,"Very Close",Established,2.75,2.80,0.69,0,0,0,Master,"Very High",Medium,Medium,Better,"Meets Expectations",Medium
429,36-45,"Very High",Veteran,Close,Established,2.75,2.80,0.99,0,0,0,"Below College",High,Low,"Very High",Better,"Meets Expectations",None
1591,46-55,"Very High","New Hire",Close,New,3.00,3.00,1.13,0,0,0,Bachelor,High,High,High,Better,"Meets Expectations",Low
1578,46-55,"Very High",Veteran,Far,Long-Term,3.25,3.00,1.14,0,0,0,Doctor,High,"Very High",High,Better,Excellent,Low
1116,46-55,"Very High","Early Tenure","Very Close",New,2.50,2.80,0.98,0,0,0,Master,Low,"Very High",High,Good,Excellent,None
444,36-45,"Very High",Veteran,Close,Developing,2.75,2.60,1.12,0,0,0,College,High,"Very High",Low,Better,"Meets Expectations",Low
809,36-45,"Very High",Veteran,Close,Established,2.50,2.60,1.07,0,0,0,Bachelor,Medium,"Very High",Medium,Good,"Meets Expectations",Low
582,26-35,High,Established,Moderate,Established,3.25,3.20,0.79,1,0,1,"Below College",Medium,High,"Very High",Best,"Meets Expectations",None
1307,36-45,"Very High","Long Tenure",Moderate,New,3.00,2.80,1.00,0,0,0,Master,High,Medium,"Very High",Better,"Meets Expectations",Medium
1550,36-45,"Very High",Veteran,Close,Established,3.50,3.40,0.96,0,0,0,College,High,"Very High","Very High",Better,Excellent,None
1321,26-35,High,Established,Moderate,Established,2.50,2.60,0.69,1,0,0,Master,Medium,Low,"Very High",Better,Excellent,Medium
820,46-55,"Very High",Veteran,"Very Close",New,3.00,3.00,0.97,0,0,0,College,High,"Very High",High,Good,"Meets Expectations",Low
1527,46-55,"Very High","Long Tenure","Very Close",New,3.25,3.20,0.97,0,0,0,Bachelor,High,Medium,"Very High",Best,"Meets Expectations",Low
568,56+,High,"New Hire",Far,New,2.50,2.40,0.82,0,0,0,Bachelor,Low,"Very High",High,Good,"Meets Expectations",Low
569,46-55,"Very High",Veteran,Far,Established,2.50,2.40,0.99,0,0,0,Master,Medium,High,Medium,Better,"Meets Expectations",Low
178,36-45,Medium,"Early Tenure",Close,New,2.75,2.80,0.68,0,0,0,College,Medium,Medium,"Very High",Better,Excellent,Medium
179,46-55,High,"Early Tenure",Close,Developing,3.00,2.60,1.46,1,0,1,Master,Low,"Very High","Very High",Better,"Meets Expectations",None
733,26-35,High,Established,Close,Established,2.50,2.60,1.21,0,0,0,College,"Very High",Low,High,Good,Excellent,Medium
845,26-35,High,Established,Close,Established,3.00,3.00,1.40,0,0,0,Bachelor,High,High,Medium,Best,Excellent,None
1888,36-45,Medium,Established,Far,Established,3.00,2.80,0.81,0,0,0,College,Medium,"Very High","Very High",Good,"Meets Expectations",Medium
